"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Acvr1c",4.9588392440403e-85,-2.32191544838957,0.021,0.119,1.60096124993841e-80
"Hs3st5",1.24095987606956e-84,-1.21014280549662,0.237,0.375,4.00643895989059e-80
"Tes",1.8691212130146e-84,-1.74365512378637,0.048,0.161,6.03445783621762e-80
"Cecr2",2.13896359165518e-84,-1.87332168884787,0.046,0.156,6.90564395565874e-80
"Chrm1",3.67487083462533e-84,-1.21236971380512,0.126,0.258,1.18643204895879e-79
"Neurl1b",3.68294770902656e-84,-1.48661925942631,0.049,0.162,1.18903966785922e-79
"Hpca",4.24486432122641e-84,-1.22221811228223,0.166,0.302,1.37045444610795e-79
"Abcg2",4.3278081187863e-84,-1.5251980778022,0.085,0.211,1.39723285115016e-79
"Map3k5",4.36259721696203e-84,-1.20599573696973,0.237,0.369,1.40846451149619e-79
"Paqr8",5.24492468716478e-84,-2.60824976670716,0.127,0.251,1.69332393525115e-79
"S1pr1",7.34872942515954e-84,-4.94116160036623,0.012,0.101,2.37253729491276e-79
"Grp",1.07679934501499e-83,-1.90424845591968,0.063,0.178,3.4764466853809e-79
"Vmn2r87",2.91402469136774e-83,-1.84061345890473,0.039,0.145,9.40792871608075e-79
"Camk2a",3.03633817340133e-83,-1.34645507167121,0.326,0.427,9.80281779282618e-79
"Htr2a",3.72521525133522e-83,1.1770881364869,0.238,0.133,1.20268574389358e-78
"Nr4a1",5.69462381731784e-83,-1.21267822405299,0.127,0.259,1.83850929942106e-78
"Erf",6.7373104207165e-83,-2.28201910425005,0.025,0.125,2.17514066932832e-78
"Sox8",8.43459123347372e-83,-2.82577389063633,0.023,0.12,2.72310777972699e-78
"Igsf21",9.86250077123647e-83,-1.19072505834656,0.163,0.297,3.1841083739937e-78
"Gm2824",1.14694570344968e-82,-1.68056582592706,0.061,0.175,3.70291420358728e-78
"Zcchc24",1.59926624307945e-82,-3.84399188312933,0.019,0.111,5.16323106578201e-78
"Sept8",2.32346482353809e-82,-1.00010134803212,0.259,0.393,7.50130618279272e-78
"Grm2",5.48307372665379e-82,-2.21763646493157,0.019,0.114,1.77021035265018e-77
"Zfp423",5.87481819356716e-82,-2.00125570099834,0.066,0.179,1.89668505379316e-77
"Dclk3",8.45568376236721e-82,-2.82350271317642,0.011,0.1,2.72991750268025e-77
"Dusp14",1.31133210344249e-81,-2.18468728018499,0.053,0.161,4.23363569596408e-77
"Col4a1",1.45344191650619e-81,-2.17589379274674,0.099,0.226,4.69243722744024e-77
"Arc",1.74162907089064e-81,-2.96308616396778,0.023,0.118,5.62284945537044e-77
"Pros1",4.13433659745905e-81,-2.8533510532931,0.02,0.114,1.33477057048965e-76
"Diras2",6.72812754097911e-81,-1.0713374873253,0.184,0.321,2.17217597660511e-76
"Arhgap29",8.27308313695954e-81,-2.55173654881283,0.081,0.196,2.67096489076739e-76
"Grip2",1.52324009384179e-80,1.11156976835072,0.247,0.14,4.91778064296822e-76
"Csmd2os",1.52361424447643e-80,-2.06333957498084,0.034,0.136,4.91898858829217e-76
"Kitl",2.80350368694609e-80,-1.28230795199725,0.132,0.264,9.05111165330544e-76
"Sema4d",3.67044344434218e-80,-1.20642896774335,0.23,0.368,1.18500266600587e-75
"Rfx4",5.10245770801275e-80,-3.03097863704959,0.028,0.124,1.64732847103192e-75
"Pcsk2os2",7.87899161086873e-80,-1.13460033397024,0.038,0.144,2.54373244156897e-75
"Btg2",8.15461638009477e-80,-2.23586707806985,0.061,0.171,2.63271789831359e-75
"Atad2",1.51183651221957e-79,-2.11139609445858,0.036,0.138,4.88096417970088e-75
"Fancl",2.33895723088272e-79,-1.00934937424794,0.137,0.274,7.55132341990485e-75
"Nap1l5",2.38654324339029e-79,1.39806226579431,0.44,0.36,7.70495486128555e-75
"Necab3",9.36231251218395e-79,-1.61819157454573,0.055,0.164,3.02262259455859e-74
"Gdpd5",1.05005129997971e-78,-1.33321572208056,0.084,0.204,3.39009062198448e-74
"Osbpl3",1.7573602242064e-78,1.01494785885101,0.436,0.334,5.67363748385036e-74
"Car7",2.13145783797075e-78,-2.01683178608216,0.033,0.132,6.88141162988857e-74
"Trps1",2.48247915242254e-78,-1.07698522214225,0.362,0.491,8.01468394359618e-74
"Peli2",2.80272883701076e-78,-1.31042233073098,0.174,0.301,9.04861005028923e-74
"Ptpn3",1.30987416807996e-77,-1.14247046504734,0.123,0.248,4.22892875164615e-73
"Cbfb",1.39761832277216e-77,-1.13061984447822,0.164,0.297,4.51221075506992e-73
"Cdk2ap1",2.37616026720876e-77,-1.17417286239947,0.114,0.241,7.67143342268349e-73
"Grhl1",3.36067889267527e-77,-3.01071124714691,0.018,0.107,1.08499518050021e-72
"Csrp2",8.76172277738763e-77,-1.16811001312822,0.144,0.274,2.8287221986796e-72
"Lrriq1",4.17689459948935e-76,-2.26355120863921,0.015,0.102,1.34851042144514e-71
"Sptb",4.64418236713151e-76,1.24937883335289,0.257,0.158,1.49937427722841e-71
"Pld1",8.31073796820091e-76,-4.36218494723385,0.023,0.111,2.68312175303366e-71
"Vmn2r85",1.71140214173453e-75,-2.23268302275588,0.021,0.11,5.52526181458994e-71
"Itga8",5.51194947474003e-75,-1.0867408822856,0.073,0.188,1.77953288791982e-70
"A830009L08Rik",5.98581983173257e-75,-2.3447060706944,0.022,0.111,1.93252193267486e-70
"Cdc14a",6.1767526570443e-75,-2.07188882883727,0.039,0.136,1.99416459532675e-70
"Adgrv1",7.66037644157845e-75,-2.80037130132959,0.066,0.171,2.4731525341636e-70
"Htr2c",1.24816317336703e-74,1.81638887804042,0.11,0.045,4.02969480521545e-70
"Ston2",1.72679905657727e-74,-3.25964757143397,0.032,0.124,5.57497075415973e-70
"Gab1",2.46749697323558e-74,-1.82404631064291,0.097,0.209,7.96631397809106e-70
"Mms22l",2.50257020558445e-74,-1.72035673701855,0.057,0.164,8.0795479087294e-70
"Fgd6",3.50475726400548e-74,-3.2659699624967,0.025,0.113,1.13151088268417e-69
"Inhba",4.80596712605175e-74,-1.8893152537001,0.068,0.175,1.55160648664581e-69
"Lpcat2",4.97605896952731e-74,-2.75931720081279,0.057,0.161,1.60652063831189e-69
"Abcc4",4.98996811533591e-74,-3.03795318856649,0.028,0.119,1.6110112060362e-69
"Tgfbr1",5.71215396424365e-74,-1.76000362707233,0.202,0.326,1.84416890735606e-69
"Cdk6",6.44728436079252e-74,-2.92758851223938,0.058,0.159,2.08150575588186e-69
"Rasl11b",1.28385152774789e-73,-1.60313958917832,0.052,0.155,4.14491465733407e-69
"Zbtb7c",1.51895180357622e-73,-1.06491183824039,0.087,0.205,4.90393589784584e-69
"Ndrg1",1.95042928400858e-73,-2.06497465313672,0.042,0.141,6.29696094342172e-69
"Tns3",2.98261060179531e-73,-3.12841675831759,0.048,0.144,9.62935832789617e-69
"4921534H16Rik",4.92335566360066e-73,-1.37394509672527,0.104,0.222,1.58950537599347e-68
"Gpc4",5.70996128951229e-73,-2.35493745570419,0.043,0.14,1.84346100231904e-68
"Nhsl1",8.79373917108804e-73,-1.46821808899471,0.134,0.258,2.83905869138577e-68
"Tshz2",1.04165377044398e-72,-2.78685813896755,0.098,0.207,3.36297919787839e-68
"Cxxc5",1.1672152554715e-72,-1.31937119648532,0.169,0.292,3.76835445228975e-68
"Tmem164",2.04104023131928e-72,-1.20241801321079,0.28,0.403,6.58949838681431e-68
"Crym",2.42637663579906e-72,-1.4198635799378,0.075,0.185,7.83355696867727e-68
"Lnx2",3.15289992748954e-72,-2.2209029523889,0.03,0.121,1.01791374159e-67
"Cst3",3.67048128660336e-72,-1.84378625133582,0.683,0.786,1.1850148833799e-67
"Serinc2",7.17976518211756e-72,-1.18435215421134,0.039,0.137,2.31798718904665e-67
"Lifr",8.47455162102052e-72,-1.26623581937423,0.166,0.289,2.73600899084648e-67
"Dact2",3.92595507320949e-71,-2.03975718864101,0.041,0.136,1.26749459538568e-66
"Slc30a10",8.22676392622403e-71,-2.4195030579288,0.043,0.137,2.65601073358143e-66
"Bhlhe40",9.99650430426677e-71,-2.03844597353397,0.039,0.132,3.22737141463253e-66
"Coch",1.09010191037452e-70,-1.35487977583997,0.057,0.161,3.51939401764415e-66
"Mdk",2.3324139696163e-70,-1.85381861450776,0.076,0.181,7.53019850090621e-66
"Gm45904",2.65234630948656e-70,1.39734110033605,0.17,0.086,8.56310006017736e-66
"Tspan9",2.91980899905001e-70,-1.52604618445518,0.164,0.281,9.42660335343295e-66
"Tll1",6.98123887045165e-70,1.17714998655861,0.131,0.06,2.25389296932532e-65
"Krt12",8.0791058435449e-70,-1.52963300538729,0.051,0.15,2.60833932158847e-65
"Pdlim5",9.63466344931053e-70,-2.47936169438434,0.06,0.156,3.11055109460991e-65
